	18Oki34	18Oki17	18Oki36	18Oki35	18Oki33	18Oki16	18Oki32	18Oki31	18Oki18	18Oki15	18Oki14	18Oki13	18Oki24	18Oki19	18Oki05	18Oki21	18Oki02	18Oki03	18Oki20	18Oki06	18Oki22	18Oki23	18Oki01	18Oki04	18Oki09	18Oki30	18Oki27	18Oki26	18Oki25	18Oki12	18Oki10	18Oki08	18Oki07	18Oki29	18Oki28	18Oki11
18Oki34	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki17	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki36	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki35	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki33	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki16	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki32	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki31	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki18	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki15	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki14	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki13	3	3	3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki24	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki19	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	3	1	-1	-1	1	1	1	-1	-1	-1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki05	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	1	3	1	1	-1	-1	-1	-1	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki21	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	1	3	1	-1	-1	-1	-1	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki02	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	1	1	3	1	-1	-1	-1	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki03	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-1	-1	1	3	1	1	-1	-1	-1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki20	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-1	-1	-1	1	3	3	1	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki06	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-1	-1	-1	1	3	3	1	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki22	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	-1	-1	-1	-1	1	1	3	1	1	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki23	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	1	1	1	-1	1	1	1	3	3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki01	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	1	1	1	-1	1	1	1	3	3	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki04	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
18Oki09	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki30	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki27	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki26	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki25	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki12	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki10	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki08	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki07	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	3	1	1	1
18Oki29	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	1	1	1	1	1	1	3	3	3
18Oki28	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	1	1	1	1	1	1	3	3	3
18Oki11	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	1	1	1	1	1	1	3	3	3
